ticket_id,timestamp,complaint_text,department_id,district,neighborhood,latitude,longitude,platform
11,2024-12-25 19:44:19,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Şişli,Mecidiyeköy,41.062022,28.990208,ALO153
12,2024-12-27 01:58:48,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Adalar,Heybeliada,40.874967,29.095924,İstanbul Senin
13,2024-12-25 14:08:23,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Beşiktaş,Etiler,41.073633,29.022429,ALO153
14,2024-12-27 16:14:41,"Selam belediye, Fatih Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kadıköy,Fenerbahçe,40.964793,29.037913,ALO153
15,2024-12-26 08:15:18,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Kadıköy,Caferağa,40.989508,29.026860,Email
16,2024-12-25 18:46:52,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Bakırköy,Florya,40.976071,28.787348,İstanbul Senin
17,2024-12-27 22:45:03,"Merhabalar, İnönü Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Üsküdar,Çengelköy,41.051566,29.052764,İstanbul Senin
18,2024-12-27 04:39:17,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Fatih,Sultanahmet,41.009300,28.978552,İstanbul Senin
19,2024-12-27 18:35:08,"Merhabalar, İnönü Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Maltepe,Altayçeşme,40.946231,29.121985,İstanbul Senin
20,2024-12-26 08:24:03,"Merhabalar, İstiklal Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Avcılar,Firüzköy,40.991836,28.717213,İstanbul Senin
21,2024-12-26 12:28:22,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Kartal,Yakacık,40.912014,29.176011,Email
22,2024-12-26 23:56:32,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Ataşehir,Barbaros,40.986171,29.124423,ALO153
23,2024-12-25 15:48:38,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Bahçelievler,Soğanlı,41.001972,28.861142,Email
24,2024-12-26 09:15:27,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Arnavutköy,Anadolu,41.180815,28.673538,İstanbul Senin
25,2024-12-27 04:56:29,"Merhabalar, Barbaros Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Fatih,Laleli,41.011623,28.959488,Email
26,2024-12-25 21:21:20,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Büyükçekmece,Güzelce,41.030920,28.593528,Email
27,2024-12-25 07:47:20,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Beyoğlu,Taksim,41.035789,28.983413,İstanbul Senin
28,2024-12-27 18:21:10,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Tuzla,Aydınlı,40.845869,29.281386,İstanbul Senin
29,2024-12-26 21:47:48,"Selam belediye, Fatih Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kağıthane,Gültepe,41.074321,28.970984,Email
30,2024-12-26 04:20:07,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Başakşehir,Başak,41.072031,28.789205,ALO153
31,2024-12-26 11:11:04,"Selam belediye, Kennedy Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Ümraniye,Çakmak,41.031449,29.153045,ALO153
32,2024-12-27 07:02:20,"Selam belediye, Cumhuriyet Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Bahçelievler,Bahçelievler,41.005842,28.846663,İstanbul Senin
33,2024-12-27 13:33:54,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Şile,Balibey,41.175408,29.612301,Email
34,2024-12-25 12:26:57,"Selam belediye, Atatürk Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Büyükçekmece,Güzelce,41.029852,28.591578,ALO153
35,2024-12-26 07:24:48,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Çekmeköy,Alemdağ,41.048048,29.211995,İstanbul Senin
36,2024-12-25 12:40:14,"Merhabalar, Büyükdere Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Çatalca,Kaleiçi,41.139944,28.432587,ALO153
37,2024-12-26 01:57:51,"Merhabalar, Barbaros Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Maltepe,Altayçeşme,40.947963,29.122240,Email
38,2024-12-27 00:42:26,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Sancaktepe,Emek,40.991869,29.243793,ALO153
39,2024-12-27 13:38:34,"Selam belediye, Bağdat Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kadıköy,Fenerbahçe,40.966283,29.039464,ALO153
40,2024-12-25 17:36:07,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Şişli,Nişantaşı,41.047048,28.992444,Email
41,2024-12-26 17:20:45,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Kadıköy,Göztepe,40.974505,29.066186,Email
42,2024-12-27 02:53:05,"Selam belediye, Sahil Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Beykoz,Anadolu Hisarı,41.083033,29.065361,ALO153
43,2024-12-26 01:37:47,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Kadıköy,Acıbadem,40.978005,29.047949,Email
44,2024-12-25 18:01:45,"Selam belediye, İnönü Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Adalar,Heybeliada,40.872404,29.095335,Email
45,2024-12-27 09:20:55,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Beyoğlu,Cihangir,41.033100,28.980931,ALO153
46,2024-12-25 20:25:04,"Selam belediye, Büyükdere Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Küçükçekmece,Halkalı,41.064002,28.722242,ALO153
47,2024-12-25 15:13:23,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Çatalca,Ferhatpaşa,41.143708,28.423532,Email
48,2024-12-26 08:19:00,"Selam belediye, Fatih Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Beykoz,Çubuklu,41.097274,29.072859,ALO153
49,2024-12-27 02:54:30,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Maltepe,Cevizli,40.938103,29.147216,İstanbul Senin
50,2024-12-27 16:42:10,"Selam belediye, Barbaros Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Sarıyer,Maslak,41.107726,28.993301,İstanbul Senin
51,2024-12-27 15:58:22,"Selam belediye, Kennedy Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Çatalca,Ferhatpaşa,41.141646,28.423585,ALO153
52,2024-12-25 12:22:51,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Adalar,Heybeliada,40.875218,29.093231,Email
53,2024-12-25 06:27:28,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Bakırköy,Kartaltepe,40.987202,28.894704,Email
54,2024-12-25 19:05:39,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Şişli,Kurtuluş,41.040310,28.977580,ALO153
55,2024-12-26 08:34:14,"Merhabalar, Kennedy Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Beşiktaş,Etiler,41.076168,29.023204,Email
56,2024-12-26 04:33:05,"Selam belediye, İnönü Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kadıköy,Caferağa,40.988160,29.026063,Email
57,2024-12-27 19:04:22,"Selam belediye, Büyükdere Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Şişli,Osmanbey,41.048949,28.985901,İstanbul Senin
58,2024-12-25 16:27:01,"Selam belediye, İnönü Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Beşiktaş,Ortaköy,41.053386,29.027768,Email
59,2024-12-26 22:24:42,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Üsküdar,Çengelköy,41.054437,29.052533,ALO153
60,2024-12-25 11:53:55,"Merhabalar, Bağdat Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Şile,Çavuş,41.184042,29.621479,ALO153
61,2024-12-25 14:04:48,"Merhabalar, İstiklal Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Tuzla,Aydınlı,40.843667,29.282207,ALO153
62,2024-12-25 18:31:43,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Esenyurt,Fatih,41.019155,28.684895,ALO153
63,2024-12-26 11:17:01,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Bağcılar,Yıldıztepe,41.040499,28.849879,Email
64,2024-12-25 03:51:14,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Fatih,Sultanahmet,41.008244,28.978223,İstanbul Senin
65,2024-12-25 11:38:54,"Merhabalar, Kennedy Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Bayrampaşa,Cevatpaşa,41.040685,28.896294,ALO153
66,2024-12-27 09:45:16,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Fatih,Aksaray,41.016073,28.952827,İstanbul Senin
67,2024-12-25 01:03:00,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Beykoz,Çubuklu,41.100412,29.070406,Email
68,2024-12-25 08:21:04,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Büyükçekmece,Dizdariye,41.024931,28.581343,İstanbul Senin
69,2024-12-25 22:03:46,"Merhabalar, Bağdat Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Bakırköy,Ataköy,40.974220,28.863410,İstanbul Senin
70,2024-12-25 08:48:28,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Beykoz,Anadolu Hisarı,41.080717,29.065125,Email
71,2024-12-27 01:31:01,"Selam belediye, Atatürk Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Avcılar,Firüzköy,40.990918,28.718235,ALO153
72,2024-12-26 04:23:11,"Selam belediye, Atatürk Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Bakırköy,Ataköy,40.973175,28.862521,Email
73,2024-12-26 20:59:43,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Bahçelievler,Yenibosna,40.994107,28.823713,ALO153
74,2024-12-26 10:02:42,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Sultangazi,Cebeci,41.106022,28.844843,ALO153
75,2024-12-26 12:15:44,"Merhabalar, Barbaros Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Beykoz,Anadolu Hisarı,41.079708,29.063452,Email
76,2024-12-25 07:13:12,"Merhabalar, İstiklal Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Kadıköy,Acıbadem,40.977453,29.048967,ALO153
77,2024-12-27 11:12:14,"Merhabalar, İstiklal Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Eyüpsultan,Eyüp,41.047811,28.924133,ALO153
78,2024-12-27 09:37:50,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Bakırköy,Kartaltepe,40.988471,28.892455,Email
79,2024-12-26 12:01:38,"Merhabalar, Büyükdere Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Ataşehir,Barbaros,40.987185,29.121841,İstanbul Senin
80,2024-12-25 07:57:41,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Kadıköy,Göztepe,40.971362,29.065542,İstanbul Senin
81,2024-12-26 04:05:20,"Selam belediye, Büyükdere Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kağıthane,Gültepe,41.074028,28.972048,İstanbul Senin
82,2024-12-27 16:55:21,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Beşiktaş,Ortaköy,41.057030,29.025842,ALO153
83,2024-12-25 11:11:41,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Sultangazi,Cebeci,41.109708,28.846525,İstanbul Senin
84,2024-12-26 08:04:39,"Selam belediye, Barbaros Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Üsküdar,Kuzguncuk,41.026457,29.030675,İstanbul Senin
85,2024-12-27 19:43:28,"Selam belediye, Kennedy Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kadıköy,Suadiye,40.960595,29.076399,İstanbul Senin
86,2024-12-27 15:06:23,"Selam belediye, Atatürk Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Küçükçekmece,Halkalı,41.061470,28.722923,ALO153
87,2024-12-27 19:24:02,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Sultangazi,50. Yıl,41.112704,28.850869,İstanbul Senin
88,2024-12-25 06:28:08,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Fatih,Laleli,41.012228,28.959952,ALO153
89,2024-12-27 20:15:34,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Bayrampaşa,Muratpaşa,41.045281,28.901083,ALO153
90,2024-12-27 22:02:44,"Selam belediye, Sahil Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Sultanbeyli,Abdurrahmangazi,40.963171,29.261085,ALO153
